"","AAPL","MSFT","GOOGL","NKE","KO","TSLA","JNJ","V","GS","NFLX","AMT"
"55",22.278244,49.390686,38.067501,57.554459,34.303947,12.746667,86.737206,71.037041,141.96846,91.839996,82.314064
"56",21.635159,44.970722,35.188,53.06221,33.920311,10.84,83.498268,68.22374,137.495667,82.790001,77.515175
"57",21.628256,45.275547,35.344501,52.3661,34.455811,10.069333,84.561295,67.155693,128.409592,87.400002,74.749268
"58",22.293285,47.542038,36.452499,55.846657,35.119194,11.849333,87.625122,69.810768,130.746964,91.93,77.864189
"59",22.249565,45.943748,35.861,57.164642,34.47179,12.795333,88.009911,69.170555,131.968185,93.410004,80.446877
"60",23.441545,46.079201,35.639999,55.134548,35.175133,13.686,89.289772,68.740578,137.10463,95.489998,83.413452
"61",23.591112,48.011585,37.512001,56.586185,36.480473,14.343333,90.059387,68.310585,135.463104,98.129997,85.559845
"62",24.371195,48.634636,38.108002,60.224606,36.78656,15.888,89.741501,70.489174,137.934235,101.059998,87.549217
"63",24.778496,49.402168,38.294498,57.218952,37.439007,15.342,91.297417,72.02758,136.822205,104.129997,88.927795
"64",25.268631,49.266731,37.928501,55.525364,37.479275,17.031334,91.138466,73.546867,137.10463,104.940002,90.742683
"65",25.41361,49.348,38.216,54.483162,37.575939,16.521334,91.682236,75.027946,136.186768,106.980003,93.088196
"66",24.601305,50.919197,38.8125,55.423008,37.535671,16.491333,94.258682,77.158768,143.547272,94.339996,92.500717
"67",24.012222,46.449429,36.268501,55.404408,35.868305,16.916,94.451111,75.037506,146.36261,92.43,91.860695
"68",21.902094,44.950478,35.422001,55.385792,36.117996,15.488,94.267044,73.757072,143.979706,91.540001,91.325851
"69",21.627979,46.070171,36.969002,55.088028,36.850998,13.912667,95.92337,75.677681,142.461716,92.889999,93.973732
"70",21.644184,45.928654,36.009499,53.133884,36.045506,13.644,95.220665,73.504807,136.486801,88.629997,92.377991
"71",22.665159,46.910702,36.651501,52.659313,35.739429,14.527333,94.940102,75.984001,139.081543,97.889999,92.325401
"72",22.794804,48.056416,37.423,51.114616,36.005234,14.637333,95.015915,75.830849,141.760742,101.510002,92.474434
"73",22.90593,47.319881,37.1465,50.507992,36.689903,15.701333,97.560242,78.156898,137.03746,97.860001,94.306915
"74",22.48921,45.183033,36.609501,50.685318,36.532963,14.513333,98.07415,74.825775,129.52272,94.290001,94.482941
"75",22.121103,46.365131,35.523499,50.927967,36.411217,13.110667,98.116272,73.255951,131.277374,90.010002,96.394958
"76",21.854858,45.955948,34.759499,51.450592,36.070316,14.012667,100.534225,73.456963,128.93782,91.059998,99.567001
"77",22.211393,46.719753,35.362999,52.187859,36.597897,14.396,103.213333,71.32235,130.267105,95.099998,98.862099
"78",22.871201,48.8657,36.790001,54.586334,37.084885,14.768667,103.777802,74.797058,144.038239,98.019997,103.091507
"79",23.019371,50.738846,37.720501,53.186447,36.890099,14.7,105.437515,75.41925,141.831635,85.989998,103.576134
"80",24.156101,51.111664,38.292,51.749233,35.429104,15.374,104.856194,75.802139,142.256973,91.650002,102.783127
"81",24.643093,52.184639,39.862499,51.133289,35.315464,15.374,104.350693,76.07975,140.05928,93.440002,102.580444
"82",25.122599,53.012104,40.41,52.943806,35.510269,14.994,104.274849,76.692337,145.207947,95.889999,102.113464
"83",25.39028,52.702034,40.137501,53.391773,35.794353,14.900667,101.705292,76.969261,147.157501,96.160004,100.756538
"84",25.038801,53.223557,39.564999,55.286289,35.445332,14.730667,100.560318,77.01722,147.015717,97.32,100.668419
